"Name","OperatingSystem","Description"
"DPCPPC007","Windows 10 Pro",
"DPRPC012","Windows 10 Pro",
"DCOPC009","Windows 10 Pro",
"DDINB001","Windows 10 Pro",
"DTVPC114","Windows 10 Pro",
"DEXPC002","Windows 10 Pro",
"DMKPC003","Windows 10 Pro",
"DPRPC015","Windows 10 Pro",
"DTVPC105","Windows 10 Pro",
"DVVM004","Windows 10 Pro",
"DTVPC101","Windows 10 Pro",
"DESKTOP-JPS98B0","Windows 10 Pro",
"DVDPC016","Windows 10 Pro",
"DRHPC001","Windows 10 Pro",
"DGIPC001","Windows 10 Pro",
"DLGPC007","Windows 10 Pro",
"DQUPC004","Windows 10 Pro",
"DQUPC001","Windows 10 Pro",
"DBKPC002","Windows 10 Pro",
"DCDPC019","Windows 10 Pro",
"DPDPC005","Windows 7 Professional",
"DSTPC003","Windows 7 Professional",
"DGNPC002","Windows 7 Professional",
"DFERPC004","Windows 7 Professional",
"DCDPC005","Windows 7 Professional",
"DCDPC006","Windows 7 Professional",
"DTVPC058","Windows 7 Professional",
"DCPPC006","Windows 7 Professional",
"DFNPC003","Windows 7 Professional",
"DFNPC004","Windows 7 Professional",
"DPRCPC005","Windows 7 Professional",
"DPCPPC011","Windows 7 Professional",
"DLGPC001","Windows 7 Professional",
"DVDPC005","Windows 7 Professional",
"DFTPC005","Windows 7 Professional",
"DALPC003","Windows 7 Professional",
"DVDPC003","Windows 7 Professional",
"DQDPC009","Windows 7 Professional",
"DGNPC011","Windows 7 Professional",
"DBKPC019","Windows 7 Professional",
"DBKPC018","Windows 7 Professional",
"DFERPC009","Windows 7 Professional",
"DCPPC032","Windows 7 Professional",
"DQDPC008","Windows 7 Professional",
"DJRPC001","Windows 7 Professional",
"DPDPC004","Windows 7 Professional",
"DFCPC002","Windows 7 Professional",
"DTVPC055","Windows 7 Professional",
"DVDPC014","Windows 7 Professional",
"DPDPC060","Windows 7 Professional",
"DPDPC025","Windows 7 Professional",
"DVDPC019","Windows 7 Professional",
"DCDPC014","Windows 7 Professional",
"DTIPC030","Windows 7 Professional",
"DMKTPC001","Windows 7 Professional",
"DPRPC013","Windows 7 Professional",
"DMONPC001","Windows 7 Professional",
"DREPC002","Windows 7 Professional",
"DCDPC018","Windows 7 Professional",
"DTINB002","Windows 7 Professional",
"DBKPC015","Windows 7 Professional",
"DPDPC007","Windows 7 Professional",
"DFNPC018","Windows 7 Professional",
"DFTPC013","Windows 7 Professional",
"DTITEST042","Windows 7 Professional",
"DCDPC004","Windows 7 Professional",
"DFERPC005","Windows 7 Professional",
"DQDPC020","Windows 7 Professional",
"DRHPC101","Windows 7 Professional",
"DMANPC003","Windows 7 Professional",
"DTVPC056","Windows 7 Professional",
"DMKPC020","Windows 7 Professional",
"DPCPPC002","Windows 7 Professional",
"DPDPC021","Windows 7 Professional",
"DCOPC007","Windows 7 Professional",
"DPDPC003","Windows 7 Professional",
"DGNPC025","Windows 7 Professional",
"DQDPC100","Windows 7 Professional",
"DFINPC100","Windows 7 Professional",
"DVDPC029","Windows 7 Professional",
"DGNPC008","Windows 7 Professional",
"DPDPC011","Windows 7 Professional",
"DVDPC001","Windows 7 Professional",
"DMOPC003","Windows 7 Professional",
"DCOPC012","Windows 7 Professional",
"DLGPC012","Windows 7 Professional",
"DTIPC022","Windows 7 Professional",
"DGNPC009","Windows 7 Professional",
"DCOPC011","Windows 7 Professional",
"DADMMA001","Windows 11 Pro",
"DFERPC010","Windows 11 Pro",
"DAUDMA001","Windows 11 Pro",
"DCOPC013","Windows 11 Pro",
"DTVPC153","Windows 10 Pro",
"DMKPC008","Windows 10 Pro",
"DALMMA001","Windows 11 Pro",
"DADMMA002","Windows 11 Pro",
"DFERPC011","Windows 11 Pro",
"DECPC001","Windows 11 Pro",
"DMONMA001","Windows 11 Pro",
"DJRPC003","Windows 11 Pro",
"DGNMA001","Windows 11 Pro",
"DEXPMA001","Windows 11 Pro",
"DEXPMA002","Windows 11 Pro",
"DRECMA001","Windows 11 Pro",
"DEXPMA003","Windows 11 Pro",
"DTVPC157","Windows 10 Pro",
"DVDPC002","Windows 10 Pro",
"DALPC009","Windows 10 Pro",
"DTIPC017","Windows 10 Pro",
"DPROPC030","Windows 10 Pro",
"DPRPC004","Windows 10 Pro",
"DTVPC120","Windows 10 Pro",
"DCDPC021","Windows 10 Pro",
"DRHPC050","Windows 10 Pro",
"DCOPC003","Windows 10 Pro",
"DCPPC007","Windows 10 Pro",
"DFTPC002","Windows 10 Pro",
"DTVPC137","Windows 10 Pro",
"DTVPC115","Windows 10 Pro",
"DTVPC128","Windows 10 Pro",
"DPDPC015","Windows 10 Pro",
"DMKPC001","Windows 10 Pro",
"DTIPC021","Windows 7 Professional",
"DQDPC002","Windows 7 Professional",
"DTIPC006","Windows 7 Professional",
"DQDPC006","Windows 7 Professional",
"DMKTPC054","Windows 7 Professional",
"DFNPC019","Windows 7 Professional",
"DFTPC008","Windows 7 Professional",
"DPROPC031","Windows 7 Professional",
"DCDPC007","Windows 7 Professional",
"DCOPC004","Windows 7 Professional",
"DPDPC024","Windows 7 Professional",
"DFTPC006","Windows 7 Professional",
"DCOPC008","Windows 7 Professional",
"DQDPC007","Windows 7 Professional",
"DALPC001","Windows 7 Professional",
"DVDPC018","Windows 7 Professional",
"DFATPC100","Windows 7 Professional",
"DTIPC020","Windows 11 Pro",
"DQDPC011","Windows 11 Pro",
"DTIVM001","Windows 7 Enterprise",
"DEXPMA004","Windows 11 Pro",
"DTIPC029","Windows 11 Pro",
